PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,PARTNERID,PA,1B,2B,3B,HR,RBI,R,SB,BB,IP,BBSP,K,W,ER,HA,HBP,QS,UNDERDOG,PRIZEPICKS,H,PARK,BASES,OUTS,BATK,HRRBI,PC,REFID,FPTS,FPTS/$,FLOOR,CEIL,POWN,SMASH,TOPVAL,TEAMOWN,DIFFERENCE,LEV,OWNERSHIP,RGID
11113,"Justin Turner",2800,TBR,1B/3B,BOS,92791,6312,4.32,0.64,0.21,0,0.12,0.51,0.52,0.012,0.43,0,0,0,0,0,0,0,0,7.8,7.16,0.97,BOS,1.54,0,0.6427,2,,30,9.45,3.38,2.57,26.47,0.0,0,0,0,0,0,,11113
4504237,"Masataka Yoshida",3700,TBR,OF,BOS,92791,181987,4.26,0.66,0.22,0.1,0.15,0.56,0.65,0.02,0.41,0,0,0,0,0,0,0,0,9.27,8.66,1.13,BOS,2,0,0.5126,2.34,,31,11.32,3.06,3.41,29.8,0.0,0,0,0,0,0,,4504237
17735,"Rob Refsnyder",2500,TBR,OF,BOS,92781,53757,4.06,0.57,0.21,0.01,0.08,0.47,0.49,0.025,0.49,0,0,0,0,0,0,0,0,7.27,6.6,0.87,BOS,1.34,0,0.9294,1.83,,32,8.78,3.51,2.77,22.56,0.0,0,0,0,0,0,,17735
3772857,"Triston Casas",2500,TBR,1B,BOS,92791,102303,4.07,0.39,0.11,0,0.17,0.48,0.46,0.005,0.57,0,0,0,0,0,0,0,0,7.2,6.53,0.67,BOS,1.29,0,0.927,1.61,,33,8.84,3.54,0.88,27.16,0.0,0,0,0,0,0,,3772857
18007,"Enrique Hernandez",2700,TBR,2B/SS/OF,BOS,92791,13792,4.01,0.49,0.21,0.03,0.09,0.49,0.43,0.009,0.38,0,0,0,0,0,0,0,0,6.92,6.34,0.82,BOS,1.36,0,0.6831,1.74,,34,8.41,3.11,1.82,23.22,0.0,0,0,0,0,0,,18007
38032,"Reese McGuire",2300,TBR,C,BOS,92781,52182,3.77,0.61,0.21,0.01,0.04,0.43,0.36,0.01,0.23,0,0,0,0,0,0,0,0,5.84,5.41,0.87,BOS,1.22,0,0.7772,1.66,,35,7.02,3.05,1.33,18.5,0.0,0,0,0,0,0,,38032
521680,"Pablo Reyes",2300,TBR,OF,BOS,92781,95776,3.7,0.5,0.18,0.02,0.06,0.42,0.34,0.024,0.29,0,0,0,0,0,0,0,0,5.82,5.37,0.76,BOS,1.16,0,0.6277,1.52,,36,7.05,3.07,1.11,19.99,0.0,0,0,0,0,0,,521680
1266421,"Nico Hoerner",3300,SDP,2B,CHC,92796,102301,4.61,0.71,0.19,0.04,0.09,0.4,0.43,0.128,0.29,0,0,0,0,0,0,0,0,7.55,7.2,1.03,SDP,1.57,0,0.6492,1.86,,37,9.14,2.77,2.33,25.27,0.0,0.0693,0.0728,0.0516,0.0177,5.5,,1266421
35650,"Dansby Swanson",3200,SDP,SS,CHC,92796,68586,4.63,0.56,0.19,0.02,0.19,0.43,0.46,0.062,0.36,0,0,0,0,0,0,0,0,8.04,7.54,0.96,SDP,1.76,0,1.3066,1.85,,38,9.76,3.05,1.67,28.96,0.0,0.0693,0.0728,0.0516,0.0177,5.5,,35650
36762,"Ian Happ",2900,SDP,OF,CHC,92796,79092,4.46,0.48,0.25,0.02,0.15,0.42,0.44,0.069,0.52,0,0,0,0,0,0,0,0,8.17,7.47,0.9,SDP,1.64,0,1.2779,1.76,,39,9.8,3.38,2.26,27.35,0.0,0.0693,0.0728,0.0516,0.0177,5.5,,36762
