PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,PARTNERID,PA,1B,2B,3B,HR,RBI,R,SB,BB,IP,BBSP,K,W,ER,HA,HBP,QS,UNDERDOG,PRIZEPICKS,H,PARK,BASES,OUTS,BATK,HRRBI,PC,REFID,FPTS,FPTS/$,FLOOR,CEIL,POWN,SMASH,TOPVAL,TEAMOWN,DIFFERENCE,LEV,OWNERSHIP,RGID
4698717,"Matt Mervis",2100,SDP,1B,CHC,92796,918931,4.04,0.45,0.18,0.02,0.12,0.36,0.31,0.021,0.29,0,0,0,0,0,0,0,0,6.04,5.59,0.77,SDP,1.35,0,1.0631,1.44,,43,5.59,2.66,0.56,16.61,0.0,0.0692,0.0486,0.0368,0.0324,6.4,,4698717
2039181,"Miles Mastrobuoni",2300,SDP,2B/OF,CHC,92796,918318,3.91,0.48,0.18,0.02,0.09,0.34,0.31,0.059,0.38,0,0,0,0,0,0,0,0,6.27,5.78,0.77,SDP,1.26,0,0.9257,1.42,,44,5.78,2.51,1.15,16.31,0.0,0.0692,0.0486,0.0368,0.0324,6.4,,2039181
14759,"Tucker Barnhart",2000,SDP,C,CHC,92796,501601,3.71,0.44,0.15,0,0.05,0.29,0.23,0.012,0.36,0,0,0,0,0,0,0,0,4.85,4.35,0.64,SDP,0.94,0,1.0484,1.16,,45,4.35,2.18,0.65,10.26,0.0,0.0692,0.0486,0.0368,0.0324,6.4,,14759
35086,"Tim Anderson",4500,DET,SS,CHW,92782,737508,4.43,0.88,0.15,0.01,0.09,0.54,0.59,0.044,0.21,0,0,0,0,0,0,0,0,7.57,7.25,1.13,CHW,1.57,0,0.809,2.26,,46,7.25,1.61,2.27,19.03,0.0,0,0,0,0,0,,35086
35356,"Andrew Benintendi",3600,DET,OF,CHW,92782,738659,4.25,0.58,0.18,0.03,0.08,0.54,0.55,0.027,0.41,0,0,0,0,0,0,0,0,7.38,6.82,0.87,CHW,1.35,0,0.7259,1.96,,47,6.82,1.89,1.87,18.19,0.0,0,0,0,0,0,,35356
1558724,"Luis Robert",5200,DET,OF,CHW,92782,1051903,4.2,0.65,0.19,0.01,0.18,0.58,0.6,0.031,0.22,0,0,0,0,0,0,0,0,8.08,7.7,1.03,CHW,1.78,0,0.8781,2.21,,48,7.7,1.48,2.03,21.03,0.0,0,0,0,0,0,,1558724
37999,"Eloy Jimenez",4400,DET,OF,CHW,92782,830373,4.08,0.63,0.14,0,0.2,0.55,0.62,0.009,0.33,0,0,0,0,0,0,0,0,8.06,7.6,0.97,CHW,1.71,0,0.8781,2.14,,49,7.6,1.73,1.98,20.62,0.0,0,0,0,0,0,,37999
35706,"Yoan Moncada",4200,DET,3B,CHW,92782,864590,4.02,0.41,0.17,0.02,0.11,0.53,0.52,0.015,0.5,0,0,0,0,0,0,0,0,7.1,6.45,0.71,CHW,1.25,0,1.0472,1.76,,50,6.45,1.54,1.55,18.1,0.0,0,0,0,0,0,,35706
2038711,"Andrew Vaughn",3500,DET,1B,CHW,92782,1159930,3.91,0.53,0.16,0,0.13,0.51,0.49,0.002,0.32,0,0,0,0,0,0,0,0,6.84,6.36,0.82,CHW,1.37,0,0.7009,1.82,,51,6.36,1.82,1.39,17.79,0.0,0,0,0,0,0,,2038711
13483,"Yasmani Grandal",3800,DET,C,CHW,92782,392198,3.88,0.39,0.1,0,0.13,0.48,0.47,0.006,0.65,0,0,0,0,0,0,0,0,6.92,6.18,0.62,CHW,1.11,0,0.8285,1.57,,52,6.18,1.63,1.71,17.08,0.0,0,0,0,0,0,,13483
2440836,"Gavin Sheets",2600,DET,1B/OF,CHW,92782,829797,3.55,0.38,0.12,0,0.17,0.48,0.43,0.006,0.35,0,0,0,0,0,0,0,0,6.44,5.97,0.67,CHW,1.3,0,0.7261,1.58,,53,5.97,2.3,1.13,17.16,0.0,0,0,0,0,0,,2440836
10476,"Elvis Andrus",2800,DET,2B/SS,CHW,92782,291792,3.64,0.56,0.13,0.01,0.07,0.45,0.38,0.035,0.25,0,0,0,0,0,0,0,0,5.85,5.5,0.77,CHW,1.13,0,0.5394,1.6,,54,5.5,1.96,1.46,15.08,0.0,0,0,0,0,0,,10476
2109971,"Terry Friedl",4000,MIL,OF,CIN,92787,943754,4.71,0.68,0.16,0.02,0.22,0.66,0.73,0.084,0.52,0,0,0,0,0,0,0,0,10.08,9.47,1.08,CIN,1.94,0,0.7981,2.47,,55,9.47,2.37,2.7,26.04,14.26,0.0416,0.0147,0.0625,-0.0209,1.2,,2109971
4738878,"Matt McLain",4500,MIL,SS,CIN,92787,1118776,4.59,0.54,0.16,0.01,0.13,0.59,0.57,0.038,0.56,0,0,0,0,0,0,0,0,8.05,7.37,0.84,CIN,1.41,0,1.2372,2,,56,7.37,1.64,1.48,22.17,5.56,0.0416,0.0147,0.0625,-0.0209,1.2,,4738878
2039490,"Jonathan India",5500,MIL,2B,CIN,92787,875832,4.48,0.64,0.2,0.01,0.17,0.62,0.65,0.049,0.57,0,0,0,0,0,0,0,0,9.33,8.6,1.02,CIN,1.75,0,0.9808,2.29,,57,8.6,1.56,2.66,23.37,8.08,0.0416,0.0147,0.0625,-0.0209,1.2,,2039490
1232642,"Jake Fraley",4600,MIL,OF,CIN,92787,857756,4.36,0.58,0.13,0,0.27,0.62,0.74,0.101,0.69,0,0,0,0,0,0,0,0,10.4,9.69,0.98,CIN,1.92,0,0.98,2.34,,58,9.69,2.11,2.89,25.97,18.26,0.0416,0.0147,0.0625,-0.0209,1.2,,1232642
1452544,"Tyler Stephenson",4300,MIL,C,CIN,92787,874242,4.27,0.69,0.2,0.01,0.12,0.57,0.6,0.007,0.48,0,0,0,0,0,0,0,0,8.28,7.62,1.02,CIN,1.6,0,1.052,2.19,,59,7.62,1.77,2.18,20.6,6.81,0.0416,0.0147,0.0625,-0.0209,1.2,,1452544
3769530,"Spencer Steer",3900,MIL,1B,CIN,92787,918663,4.26,0.57,0.23,0.02,0.16,0.61,0.59,0.013,0.44,0,0,0,0,0,0,0,0,8.55,7.9,0.98,CIN,1.73,0,0.9513,2.18,,60,7.9,2.03,1.95,21.96,3.49,0.0416,0.0147,0.0625,-0.0209,1.2,,3769530
873104,"Nick Senzel",4400,MIL,3B/OF,CIN,92787,873264,4.15,0.62,0.14,0,0.08,0.51,0.46,0.061,0.4,0,0,0,0,0,0,0,0,6.96,6.47,0.84,CIN,1.22,0,0.8062,1.81,,61,6.47,1.47,1.43,18.21,2.83,0.0416,0.0147,0.0625,-0.0209,1.2,,873104
3673261,"Will Benson",2300,MIL,OF,CIN,92787,917927,3.84,0.46,0.1,0.01,0.14,0.49,0.43,0.015,0.45,0,0,0,0,0,0,0,0,6.72,6.18,0.71,CIN,1.25,0,1.102,1.63,,62,6.18,2.69,0.62,18.5,2.4,0.0416,0.0147,0.0625,-0.0209,1.2,,3673261
2039492,"Stuart Fairchild",2500,MIL,OF,CIN,92787,829822,3.48,0.39,0.19,0.02,0.11,0.49,0.41,0.049,0.41,0,0,0,0,0,0,0,0,6.83,6.27,0.71,CIN,1.27,0,0.981,1.61,,63,6.27,2.51,0.63,20.78,1.63,0.0416,0.0147,0.0625,-0.0209,1.2,,2039492
3202063,"Steven Kwan",3900,MIN,OF,CLE,92793,1054472,4.93,0.8,0.24,0.15,0.04,0.43,0.49,0.072,0.53,0,0,0,0,0,0,0,0,9.17,8.47,1.23,MIN,1.89,0,0.5345,2.15,,64,8.47,2.17,3.11,20.14,0.0,0.0856,0.1413,0.0995,-0.0139,3.6,,3202063
36162,"Amed Rosario",3700,MIN,SS,CLE,92793,732115,4.82,0.8,0.19,0.13,0.07,0.41,0.43,0.053,0.28,0,0,0,0,0,0,0,0,7.95,7.54,1.19,MIN,1.85,0,1.066,2.03,,65,7.54,2.04,2.13,19.83,0.0,0.0856,0.1413,0.0995,-0.0139,3.6,,36162
16368,"Jose Ramirez",5100,MIN,3B,CLE,92793,598784,4.62,0.58,0.3,0.12,0.18,0.46,0.5,0.09,0.43,0,0,0,0,0,0,0,0,9.81,9.18,1.18,MIN,2.26,0,0.6222,2.14,,66,9.18,1.8,2.79,23.27,0.0,0.0856,0.1413,0.0995,-0.0139,3.6,,16368
