PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,PARTNERID,PA,1B,2B,3B,HR,RBI,R,SB,BB,IP,BBSP,K,W,ER,HA,HBP,QS,UNDERDOG,PRIZEPICKS,H,PARK,BASES,OUTS,BATK,HRRBI,PC,REFID,FPTS,FPTS/$,FLOOR,CEIL,POWN,SMASH,TOPVAL,TEAMOWN,DIFFERENCE,LEV,OWNERSHIP,RGID
3201984,"Terrin Vavra",2000,SFG,OF,BAL,92794,1053036,3.94,0.86,0.09,0.04,0.04,0.32,0.3,0.02,0.42,0,0,0,0,0,0,0,0,6.33,5.85,1.03,SFG,1.32,0,0.8225,1.65,,27,5.85,2.93,2.41,12.89,0.0,0.1262,0.1569,0.1426,-0.0164,4.5,,3201984
34704,"Raimel Tapia",2100,TBR,OF,BOS,92791,597078,4.03,0.51,0.2,0.05,0.06,0.38,0.46,0.09,0.23,0,0,0,0,0,0,0,0,6.34,6,0.82,BOS,1.3,0,0.9217,1.66,,28,6,2.86,1.61,15.7,0.0,0,0,0,0,0,,34704
37377,"Rafael Devers",5800,TBR,3B,BOS,92791,828312,4.09,0.4,0.27,0.01,0.21,0.45,0.6,0.028,0.3,0,0,0,0,0,0,0,0,8.11,7.56,0.89,BOS,1.81,0,1.119,1.94,,29,7.56,1.3,1.77,20.56,0.0,0,0,0,0,0,,37377
11113,"Justin Turner",3700,TBR,1B/3B,BOS,92791,326827,3.97,0.48,0.17,0,0.12,0.37,0.49,0.024,0.45,0,0,0,0,0,0,0,0,6.83,6.23,0.77,BOS,1.3,0,0.917,1.63,,30,6.23,1.68,1.65,17.73,0.0,0,0,0,0,0,,11113
4504237,"Masataka Yoshida",5400,TBR,OF,BOS,92791,907347,3.98,0.46,0.24,0.03,0.14,0.41,0.56,0.036,0.37,0,0,0,0,0,0,0,0,7.61,7.04,0.87,BOS,1.59,0,0.7079,1.84,,31,7.04,1.3,2.17,18.34,0.0,0,0,0,0,0,,4504237
2044739,"Jarren Duran",4000,TBR,OF,BOS,92791,1118975,3.79,0.35,0.26,0.06,0.07,0.4,0.47,0.13,0.26,0,0,0,0,0,0,0,0,6.84,6.45,0.74,BOS,1.33,0,1.5072,1.61,,32,6.45,1.61,1.64,16.53,0.0,0,0,0,0,0,,2044739
18007,"Enrique Hernandez",3200,TBR,SS,BOS,92791,501542,3.85,0.38,0.18,0.02,0.1,0.37,0.43,0.019,0.42,0,0,0,0,0,0,0,0,6.26,5.68,0.68,BOS,1.2,0,1.0175,1.48,,33,5.68,1.78,1.16,16.02,0.0,0,0,0,0,0,,18007
3772857,"Triston Casas",2800,TBR,1B,BOS,92791,1118539,3.72,0.27,0.12,0,0.16,0.36,0.41,0.009,0.5,0,0,0,0,0,0,0,0,6.18,5.57,0.55,BOS,1.15,0,1.2541,1.32,,34,5.57,1.99,0.56,16.65,0.0,0,0,0,0,0,,3772857
4061011,"Enmanuel Valdez",3000,TBR,2B,BOS,92791,917288,3.47,0.33,0.19,0,0.09,0.38,0.34,0.046,0.22,0,0,0,0,0,0,0,0,5.34,4.97,0.61,BOS,1.07,0,1.1118,1.33,,35,4.97,1.66,0.5,14.95,0.0,0,0,0,0,0,,4061011
2038622,"Connor Wong",3100,TBR,C,BOS,92791,873978,3.17,0.29,0.17,0.03,0.12,0.33,0.35,0.056,0.26,0,0,0,0,0,0,0,0,5.71,5.34,0.61,BOS,1.2,0,1.1716,1.29,,36,5.34,1.72,1.31,19.28,0.0,0,0,0,0,0,,2038622
