PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,PARTNERID,PA,1B,2B,3B,HR,RBI,R,SB,BB,IP,BBSP,K,W,ER,HA,HBP,QS,UNDERDOG,PRIZEPICKS,H,PARK,BASES,OUTS,BATK,HRRBI,PC,REFID,FPTS,FPTS/$,FLOOR,CEIL,POWN,SMASH,TOPVAL,TEAMOWN,DIFFERENCE,LEV,OWNERSHIP,RGID
11113,"Justin Turner",2700,TBR,1B/3B,BOS,92822,6312,4.23,0.62,0.18,0,0.13,0.48,0.52,0.008,0.43,0,0,0,0,0,0,0,0,7.6,6.99,0.93,BOS,1.5,0,0.7214,1.93,,30,9.23,3.42,2.34,25.33,3.19,0.0272,0.0206,0.0179,0.0093,5.7,,11113
4504237,"Masataka Yoshida",3600,TBR,OF,BOS,92822,181987,4.17,0.61,0.17,0.05,0.11,0.49,0.55,0.013,0.43,0,0,0,0,0,0,0,0,7.82,7.23,0.94,BOS,1.54,0,0.6298,1.98,,31,9.52,2.64,2.58,24.87,1.36,0.0272,0.0206,0.0179,0.0093,5.7,,4504237
2044739,"Jarren Duran",3000,TBR,OF,BOS,92822,119311,4.02,0.48,0.19,0.09,0.06,0.48,0.46,0.044,0.29,0,0,0,0,0,0,0,0,6.83,6.39,0.82,BOS,1.37,0,1.3513,1.76,,32,8.4,2.8,1.22,23.54,9.2,0.0272,0.0206,0.0179,0.0093,5.7,,2044739
18007,"Enrique Hernandez",2700,TBR,2B/SS/OF,BOS,92822,13792,4.01,0.48,0.19,0.02,0.1,0.47,0.46,0.006,0.41,0,0,0,0,0,0,0,0,6.9,6.3,0.79,BOS,1.32,0,0.7753,1.72,,33,8.39,3.11,1.6,23.13,1.62,0.0272,0.0206,0.0179,0.0093,5.7,,18007
3772857,"Triston Casas",2400,TBR,1B,BOS,92822,102303,3.9,0.36,0.09,0,0.13,0.42,0.4,0.003,0.57,0,0,0,0,0,0,0,0,6.29,5.63,0.58,BOS,1.06,0,1.1064,1.4,,34,7.66,3.19,0.77,22.59,1.09,0.0272,0.0206,0.0179,0.0093,5.7,,3772857
2038622,"Connor Wong",2600,TBR,C,BOS,92822,102504,3.61,0.4,0.2,0.04,0.14,0.45,0.41,0.021,0.27,0,0,0,0,0,0,0,0,6.68,6.24,0.78,BOS,1.48,0,0.9902,1.64,,35,8.22,3.16,1.41,21.83,0.73,0.0272,0.0206,0.0179,0.0093,5.7,,2038622
4061011,"Enmanuel Valdez",2500,TBR,3B,BOS,92822,181642,3.59,0.43,0.14,0,0.08,0.39,0.31,0.016,0.25,0,0,0,0,0,0,0,0,5.12,4.75,0.65,BOS,1.03,0,0.971,1.35,,36,6.26,2.5,0.56,20.24,0.97,0.0272,0.0206,0.0179,0.0093,5.7,,4061011
1266421,"Nico Hoerner",3300,SDP,2B,CHC,92834,102301,4.75,0.81,0.22,0.01,0.09,0.5,0.54,0.028,0.39,0,0,0,0,0,0,0,0,8.08,7.5,1.13,SDP,1.64,0,0.5189,2.17,,37,9.71,2.94,3.25,24.21,0.0,0,0,0,0,0,,1266421
35650,"Dansby Swanson",3200,SDP,SS,CHC,92834,68586,4.77,0.63,0.23,0.01,0.2,0.55,0.6,0.015,0.52,0,0,0,0,0,0,0,0,9.21,8.48,1.07,SDP,1.92,0,1.0442,2.22,,38,11.19,3.5,3.2,28.82,0.0,0,0,0,0,0,,35650
36762,"Ian Happ",3000,SDP,OF,CHC,92834,79092,4.59,0.55,0.26,0,0.14,0.53,0.54,0.013,0.58,0,0,0,0,0,0,0,0,8.61,7.78,0.95,SDP,1.63,0,1.0743,2.02,,39,10.36,3.45,3.08,25.89,0.0,0,0,0,0,0,,36762
