,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,RP,Justin Dunn (28221028),Justin Dunn,28221028,P,6200,MIL@CIN 06/05/2023 07:10PM ET,CIN,0
,,,,,,,,,,,SP,Roansy Contreras (28221029),Roansy Contreras,28221029,P,6200,OAK@PIT 06/05/2023 07:05PM ET,PIT,10.36
,,,,,,,,,,,OF,Fernando Tatis Jr. (28220340),Fernando Tatis Jr.,28220340,OF,6200,CHC@SD 06/05/2023 09:10PM ET,SD,9.82
,,,,,,,,,,,OF,Yordan Alvarez (28220341),Yordan Alvarez,28220341,OF,6100,HOU@TOR 06/05/2023 07:07PM ET,HOU,10.09
,,,,,,,,,,,RP,Matt Peacock (28221034),Matt Peacock,28221034,P,6100,HOU@TOR 06/05/2023 07:07PM ET,TOR,0
,,,,,,,,,,,RP,T.J. Zeuch (28221032),T.J. Zeuch,28221032,P,6100,DET@PHI 06/05/2023 06:40PM ET,PHI,0
,,,,,,,,,,,SP,Jackson Kowar (28221030),Jackson Kowar,28221030,P,6100,KC@MIA 06/05/2023 06:40PM ET,KC,8.98
,,,,,,,,,,,SP,Zack Greinke (28221031),Zack Greinke,28221031,P,6100,KC@MIA 06/05/2023 06:40PM ET,KC,11.42
,,,,,,,,,,,SP,Max Meyer (28221033),Max Meyer,28221033,P,6100,KC@MIA 06/05/2023 06:40PM ET,MIA,0
,,,,,,,,,,,2B,Marcus Semien (28220342),Marcus Semien,28220342,2B,6000,STL@TEX 06/05/2023 08:05PM ET,TEX,10.71
,,,,,,,,,,,RP,Bryan Garcia (28221037),Bryan Garcia,28221037,P,6000,HOU@TOR 06/05/2023 07:07PM ET,HOU,0
,,,,,,,,,,,SP,Joey Wentz (28220339),Joey Wentz,28220339,P,6000,DET@PHI 06/05/2023 06:40PM ET,DET,6.03
,,,,,,,,,,,SP,Luis Medina (28221035),Luis Medina,28221035,P,6000,OAK@PIT 06/05/2023 07:05PM ET,OAK,5.99
,,,,,,,,,,,SP,Jordan Lyles (28221036),Jordan Lyles,28221036,P,6000,KC@MIA 06/05/2023 06:40PM ET,KC,8.59
,,,,,,,,,,,SS,Corey Seager (28220343),Corey Seager,28220343,SS,5900,STL@TEX 06/05/2023 08:05PM ET,TEX,11.07
,,,,,,,,,,,SP,Vladimir Gutierrez (28221038),Vladimir Gutierrez,28221038,P,5900,MIL@CIN 06/05/2023 07:10PM ET,CIN,0
,,,,,,,,,,,SP,Glenn Otto (28221039),Glenn Otto,28221039,P,5800,STL@TEX 06/05/2023 08:05PM ET,TEX,0
,,,,,,,,,,,SP,Spencer Howard (28221040),Spencer Howard,28221040,P,5800,STL@TEX 06/05/2023 08:05PM ET,TEX,0
,,,,,,,,,,,OF,Juan Soto (28220344),Juan Soto,28220344,OF,5800,CHC@SD 06/05/2023 09:10PM ET,SD,8.68
,,,,,,,,,,,OF,Bryce Harper (28220345),Bryce Harper,28220345,OF,5700,DET@PHI 06/05/2023 06:40PM ET,PHI,8.54
,,,,,,,,,,,SP,Reese Olson (28221044),Reese Olson,28221044,P,5700,DET@PHI 06/05/2023 06:40PM ET,DET,17.45
,,,,,,,,,,,RP,Taylor Clarke (28221041),Taylor Clarke,28221041,P,5700,KC@MIA 06/05/2023 06:40PM ET,KC,3.68
,,,,,,,,,,,SP,Jonathan Heasley (28221042),Jonathan Heasley,28221042,P,5700,KC@MIA 06/05/2023 06:40PM ET,KC,1.6
,,,,,,,,,,,SP,Angel Zerpa (28221043),Angel Zerpa,28221043,P,5700,KC@MIA 06/05/2023 06:40PM ET,KC,0
,,,,,,,,,,,1B,Paul Goldschmidt (28220346),Paul Goldschmidt,28220346,1B,5600,STL@TEX 06/05/2023 08:05PM ET,STL,9.4
