P,C/1B,2B,3B,SS,OF,OF,OF,UTIL,"","Instructions"
"","","","","","","","","","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
"","","","","","","","","","",91073-119426:Johan Oviedo,91073-119426,P,Johan,Johan Oviedo,Oviedo,25.454545454545453,11,8400,OAK@PIT,PIT,OAK,,,,Yes,,P
"","","","","","","","","","",91073-12972:Wade Miley,91073-12972,P,Wade,Wade Miley,Miley,22.5,9,8400,MIL@CIN,MIL,CIN,IL,Lat,,,,P
"","","","","","","","","","",91073-102484:Brandon Bielak,91073-102484,P,Brandon,Brandon Bielak,Bielak,26,6,8300,HOU@TOR,HOU,TOR,,,,Yes,,P
"","","","","","","","","","",91073-102515:Aaron Ashby,91073-102515,P,Aaron,Aaron Ashby,Ashby,20.925925925925927,27,8300,MIL@CIN,MIL,CIN,IL,Shoulder,,,,P
"","","","","","","","","","",91073-79226:Eric Lauer,91073-79226,P,Eric,Eric Lauer,Lauer,22.77777777777778,10,8300,MIL@CIN,MIL,CIN,IL,Shoulder,,,,P
"","","","","","","","","","",91073-79853:Jordan Montgomery,91073-79853,P,Jordan,Jordan Montgomery,Montgomery,26.416666666666668,12,8300,STL@TEX,STL,TEX,,,,,0,P
"","","","","","","","","","",91073-79246:Jack Flaherty,91073-79246,P,Jack,Jack Flaherty,Flaherty,26.333333333333332,12,8200,STL@TEX,STL,TEX,,,,,0,P
"","","","","","","","","","",91073-118397:Trevor Megill,91073-118397,P,Trevor,Trevor Megill,Megill,5.857142857142857,7,8200,MIL@CIN,MIL,CIN,,,,,,P
"","","","","","","","","","",91073-71875:Mike Mayers,91073-71875,P,Mike,Mike Mayers,Mayers,27.333333333333332,3,8100,KC@MIA,KC,MIA,,,,,0,P
"","","","","","","","","","",91073-79072:Brad Keller,91073-79072,P,Brad,Brad Keller,Keller,20.22222222222222,10,8000,KC@MIA,KC,MIA,IL,Shoulder,,,0,P
"","","","","","","","","","",91073-110822:Jose Urquidy,91073-110822,P,Jose,Jose Urquidy,Urquidy,20,6,8000,HOU@TOR,HOU,TOR,IL,Shoulder,,,,P
"","","","","","","","","","",91073-5498:Johnny Cueto,91073-5498,P,Johnny,Johnny Cueto,Cueto,-9,2,8000,KC@MIA,MIA,KC,IL,Biceps,,,0,P
"","","","","","","","","","",91073-52728:Michael Lorenzen,91073-52728,P,Michael,Michael Lorenzen,Lorenzen,28.666666666666668,9,8000,DET@PHI,DET,PHI,,,,,0,P
"","","","","","","","","","",91073-165512:Andrew Abbott,91073-165512,P,Andrew,Andrew Abbott,Abbott,,,8000,MIL@CIN,CIN,MIL,,,,Yes,,P
"","","","","","","","","","",91073-102330:Kris Bubic,91073-102330,P,Kris,Kris Bubic,Bubic,26.333333333333332,4,8000,KC@MIA,KC,MIA,IL,Elbow,,,0,P
"","","","","","","","","","",91073-119340:Tarik Skubal,91073-119340,P,Tarik,Tarik Skubal,Skubal,30.857142857142858,21,7900,DET@PHI,DET,PHI,IL,Elbow,,,0,P
"","","","","","","","","","",91073-68561:Luke Weaver,91073-68561,P,Luke,Luke Weaver,Weaver,23.625,8,7900,MIL@CIN,CIN,MIL,,,,,,P
"","","","","","","","","","",91073-163693:Adam Oller,91073-163693,P,Adam,Adam Oller,Oller,4.222222222222222,9,7800,OAK@PIT,OAK,PIT,,,,,0,P
"","","","","","","","","","",91073-80859:Paul Blackburn,91073-80859,P,Paul,Paul Blackburn,Blackburn,18,2,7800,OAK@PIT,OAK,PIT,,,,,0,P
