P,P,C,1B,2B,3B,SS,OF,OF,OF
28168749,28168754,28168785,28168854,28168798,28168813,28168825,28168827,28168872,28168904,
28168756,28168758,28168820,28168773,28168798,28168780,28168791,28168778,28168826,28168824,
28168754,28168757,28168837,28168854,28168964,28168813,28168877,28168819,28168827,28168906,
28168749,28168752,28168785,28168886,28168920,28168853,28168825,28168861,28168872,28168904,
28168749,28168754,28168820,28168840,28168804,28168822,28168877,28168792,28168826,28168935,
28168756,28168758,28168782,28168795,28168884,28168832,28168767,28168774,28168803,28168821,
28168754,28168757,28168835,28168886,28168920,28168853,28168791,28168819,28168824,28168874,
28168748,28168749,28168905,28168883,28168962,28168928,28168885,28168841,28168855,28168901,
28168756,28168757,28168952,28168936,28168786,28168918,28168885,28168765,28168771,28168841,
28168751,28168754,28168880,28168883,28168817,28168928,28168831,28168810,28168901,28168955,
28168748,28168757,28168785,28168799,28168798,28168832,28168825,28168821,28168872,28168904,
28168754,28168756,28168873,28168883,28168962,28168813,28168949,28168819,28168850,28168874,
28168752,28168754,28168837,28168886,28168920,28168853,28168877,28168792,28168906,28168935,
28168751,28168756,28168880,28168886,28168920,28168853,28168791,28168810,28168824,28168955,
28168758,28168761,28168909,28168847,28168924,28168777,28168831,28168794,28168810,28168955,
28168754,28168757,28168785,28168916,28168817,28168888,28168825,28168861,28168872,28168904,
28168754,28168755,28168785,28168773,28168798,28168780,28168885,28168765,28168841,28168904,
28168751,28168757,28168952,28168936,28168786,28168918,28168877,28168792,28168806,28168935,
28168751,28168756,28168905,28168881,28168923,28168876,28168885,28168765,28168841,28168897,
28168748,28168754,28168905,28168932,28168833,28168876,28168885,28168841,28168842,28168845,
28168755,28168758,28168782,28168773,28168884,28168780,28168825,28168762,28168803,28168861,
28168756,28168757,28168922,28168854,28168964,28168858,28168877,28168792,28168827,28168935,
28168751,28168754,28168873,28168799,28168962,28168832,28168949,28168849,28168850,28168973,
28168751,28168757,28168837,28168799,28168804,28168832,28168877,28168792,28168821,28168935,
28168751,28168756,28168785,28168883,28168798,28168928,28168825,28168872,28168901,28168904,
28168751,28168758,28168952,28168936,28168786,28168918,28168825,28168771,28168872,28168904,
28168749,28168750,28168828,28168881,28168923,28168829,28168797,28168770,28168897,28168915,
28168748,28168750,28168828,28168936,28168815,28168829,28168793,28168771,28168913,28168915,
28168752,28168754,28168909,28168790,28168815,28168807,28168779,28168775,28168794,28168860,
28168750,28168756,28168828,28168763,28168815,28168829,28168885,28168765,28168841,28168915,
28168748,28168750,28168880,28168844,28168804,28168822,28168831,28168792,28168810,28168955,
28168754,28168756,28168782,28168790,28168815,28168832,28168779,28168803,28168821,28168860,
28168752,28168761,28168909,28168795,28168924,28168781,28168767,28168775,28168774,28168794,
28168758,28168761,28168796,28168795,28168786,28168781,28168793,28168774,28168800,28168806,
28168748,28168750,28168837,28168945,28168833,28168807,28168877,28168842,28168845,28168906,
28168748,28168754,28168952,28168936,28168920,28168853,28168791,28168771,28168824,28168913,
