P,P,C,1B,2B,3B,SS,OF,OF,OF
28154654,28154670,28154753,28155042,28154685,28154859,28154795,28154729,28154748,28154785,
28154657,28154658,28154850,28154824,28154717,28154861,28154967,28154687,28154713,28154890,
28154658,28154659,28154714,28154754,28154921,28154791,28154736,28154745,28154799,28154847,
28154652,28154655,28154939,28154734,28154921,28154841,28154736,28154847,28154873,28155031,
28154657,28154661,28154753,28154773,28154921,28154765,28154736,28154729,28154740,28154847,
28154652,28154655,28154999,28154701,28155060,28154854,28154825,28154678,28154877,28155039,
28154658,28154659,28154939,28154734,28154828,28154772,28154711,28154746,28154838,28154842,
28154655,28154666,28154874,28154703,28154984,28154765,28154707,28154722,28154740,28154847,
28154655,28154658,28154752,28154905,28154789,28154710,28154801,28154720,28154873,28154996,
28154654,28154661,28154730,28154754,28154757,28154791,28154749,28154799,28154895,28155047,
28154657,28154661,28154900,28154824,28154717,28154705,28154808,28154687,28154784,28155003,
28154655,28154659,28154752,28154905,28154685,28154710,28154795,28154785,28154978,28155070,
28154654,28154659,28154730,28154834,28154756,28154721,28154708,28154895,28154889,28155064,
28154661,28154666,28154698,28154702,28154693,28154712,28154801,28154742,28154954,28154996,
28154654,28154658,28154903,28154941,28154774,28154741,28155041,28154697,28154746,28154842,
28154652,28154658,28154900,28154750,28154793,28154892,28154808,28154758,28154784,28155003,
28154657,28154658,28154788,28154833,28154685,28154841,28154795,28154729,28154785,28154978,
28154659,28154666,28155069,28154701,28154704,28154721,28154724,28154678,28154877,28155039,
28154653,28154657,28154752,28154905,28154781,28154765,28154801,28154740,28154847,28154996,
28154654,28154667,28154709,28154786,28155009,28154765,28154689,28154740,28154827,28154847,
28154654,28154655,28154896,28154734,28154717,28155046,28154711,28154843,28154882,28154955,
28154654,28154657,28154733,28154979,28154756,28154705,28154808,28154784,28154889,28155064,
28154659,28154661,28154753,28154773,28154717,28154760,28154711,28154687,28154978,28155070,
28154654,28154661,28154798,28155042,28154878,28154814,28154743,28154690,28154763,28154768,
28154652,28154653,28154788,28154833,28154921,28154841,28155041,28154697,28154746,28155031,
28154652,28154655,28154752,28154905,28154894,28154710,28155010,28154742,28155011,28155017,
28154655,28154658,28154866,28154887,28155060,28154783,28154737,28154751,28154804,28154813,
28154653,28154666,28154900,28154701,28154793,28154721,28154808,28154678,28154950,28155003,
28154654,28154658,28154850,28154979,28154756,28154861,28154708,28154713,28154747,28155064,
28154652,28154654,28154730,28154931,28155020,28154721,28155055,28154846,28154843,28154895,
28154658,28154659,28154714,28155016,28154911,28154712,28154749,28154742,28154745,28155011,
28154652,28154659,28155069,28154887,28154704,28154783,28154724,28154804,28154813,28154907,
28154654,28154658,28154872,28154932,28154723,28154765,28154743,28154740,28154847,28154965,
28154653,28154655,28154999,28154887,28155060,28154854,28155041,28154697,28154746,28154813,
28154652,28154659,28154999,28154680,28155060,28154854,28155030,28154684,28154787,28154826,
28154654,28154677,28155069,28154806,28154704,28154682,28154724,28154686,28154796,28155000,
28154659,28154667,28154753,28154773,28154685,28154783,28154795,28154729,28154804,28154813,
28154654,28154659,28154940,28154701,28154728,28155025,28154805,28154678,28154877,28155062,
28154654,28154659,28155069,28154833,28154704,28154765,28154724,28154740,28154837,28154898,
28154652,28154655,28154958,28154979,28154756,28154682,28154708,28154889,28155000,28155064,
28154655,28154661,28154753,28154773,28154685,28154760,28154801,28154729,28154954,28154996,
28154658,28154666,28154709,28154701,28155009,28154944,28154689,28154678,28154827,28154877,
28154654,28154670,28154872,28154806,28154723,28154682,28154743,28154763,28154768,28155000,
28154652,28154658,28155069,28154869,28154704,28154705,28154808,28154784,28154837,28154898,
28154654,28154655,28154872,28154932,28154757,28154814,28154825,28154690,28154895,28154965,
28154654,28154659,28154900,28154957,28154793,28154700,28154724,28154683,28154950,28155003,
28154654,28154659,28154850,28154719,28154728,28154899,28154967,28154679,28154890,28154986,
28154658,28154660,28154752,28154806,28154781,28154682,28154801,28154954,28154996,28155000,
28154652,28154653,28154958,28155016,28154911,28154682,28154749,28154799,28155000,28155047,
28154652,28154654,28154896,28154701,28155020,28155046,28155055,28154678,28154877,28154955,
28154657,28154658,28154940,28154806,28154728,28154682,28154805,28154679,28155000,28155062,
28154654,28154655,28154966,28154770,28154870,28154783,28154792,28154804,28154800,28154813,
28154655,28154658,28155069,28154773,28154704,28154760,28154724,28154785,28154978,28155070,
28154652,28154658,28154798,28155042,28154878,28154739,28154856,28154738,28154771,28154803,
28154657,28154658,28155069,28155042,28154704,28154859,28154724,28154683,28154748,28154837,
28154654,28154658,28154798,28155042,28154762,28154797,28154891,28154732,28154748,28154963,
28154658,28154659,28154753,28155016,28154685,28154791,28154749,28154729,28154799,28155047,
28154655,28154659,28154872,28154932,28154723,28154783,28154743,28154768,28154804,28154813,
28154652,28154653,28154939,28154734,28154789,28155046,28155055,28154720,28154873,28154955,
28154654,28154677,28154940,28154719,28154728,28154765,28154805,28154679,28154740,28154847,
28154654,28154655,28154810,28154989,28154725,28154892,28154891,28154758,28154904,28154963,
28154657,28154659,28154718,28154864,28154945,28154739,28154736,28154740,28154767,28154847,
28154654,28154667,28154958,28154869,28154857,28154700,28154724,28154683,28154706,28155000,
28154655,28154660,28155069,28154754,28154704,28154791,28154724,28154745,28154799,28155047,
28154652,28154659,28154730,28154864,28154945,28154721,28154856,28154771,28154803,28154895,
28154653,28154659,28154872,28154932,28154723,28154814,28155041,28154697,28154746,28154965,
28154654,28154670,28155069,28154931,28154704,28154700,28154724,28154683,28154846,28154843,
28154655,28154657,28154810,28154806,28154762,28154682,28154891,28154732,28154963,28155000,
28154652,28154653,28154940,28154824,28154717,28155025,28154805,28154687,28154986,28155062,
28154654,28154655,28154733,28154834,28155020,28155046,28155055,28154735,28154747,28154889,
28154660,28154667,28154900,28154696,28154726,28154710,28154808,28154784,28154950,28155003,
28154655,28154661,28154718,28154864,28154945,28154705,28154808,28154767,28154784,28154803,
28154658,28154661,28154821,28154719,28154728,28154899,28154805,28154679,28154804,28154907,
28154661,28154666,28154752,28154905,28154781,28154700,28154801,28154683,28154706,28154954,
28154659,28154666,28154788,28154833,28154723,28154841,28154743,28154690,28154763,28154768,
28154652,28154659,28154903,28154816,28154762,28154797,28155041,28154697,28154732,28154963,
28154655,28154659,28154718,28154957,28154793,28154739,28154856,28154738,28154771,28154950,
28154655,28154658,28154718,28154848,28154945,28154739,28155586,28154738,28154767,28155093,
28154653,28154655,28154798,28155042,28155020,28155046,28155055,28154748,28154846,28154955,
28154661,28154670,28154718,28154702,28154693,28154739,28155010,28154738,28154771,
28154666,28154677,28154939,28154734,28154704,28154700,28154724,28154683,28154706,28154873,
28154657,28154666,28154718,28154776,28154910,28154739,28154766,28154738,28154767,28154771,
28154659,28154660,28154810,28154696,28154726,28154710,28154891,28154732,28154904,28154963,
28154658,28154659,28155069,28154932,28154704,28154814,28154724,28154690,28154763,28154965,
28154654,28154661,28154940,28154869,28154728,28154700,28154805,28154706,28154837,28154898,
28154658,28154667,28154733,28154834,28154756,28154700,28154724,28154683,28154889,28155064,
28154658,28154660,28154698,28154864,28154945,28154712,28154856,28154742,28154767,28154803,
28154657,28154666,28154752,28154864,28154726,28154710,28154856,28154738,28154771,28154803,
28154653,28154659,28154896,28154719,28154728,28155046,28155055,28154679,28154882,28154955,
28154667,28154670,28154850,28154905,28154781,28154861,28154801,28154713,28154954,28154996,
28154659,28154677,28154872,28154869,28154723,28154700,28154743,28154683,28154706,28154898,
28154658,28154659,28154821,28154931,28155020,28155046,28155055,28154804,28154846,28154907,
28154655,28154659,28155069,28154869,28155020,28155046,28155055,28154706,28154837,28154898,
28154652,28154659,28154798,28155042,28154878,28154705,28154808,28154748,28154784,28155003,
28154652,28154653,28154798,28155042,28154757,28154859,28154825,28154748,28154895,28155039,
28154657,28154659,28154730,28154848,28154757,28154721,28155586,28154692,28155093,28154895,
28154653,28154660,28154939,28154734,28154725,28154892,28154711,28154758,28154873,28154890,
28154655,28154659,28154874,28154871,28154984,28154705,28154808,28154722,28154784,28154809,
28154652,28154655,28154900,28154957,28154793,28154765,28154736,28154740,28154847,28154950,
28154659,28154660,28154698,28154702,28154921,28154712,28154736,28154742,28154847,28155031,
28154654,28154655,28154821,28154848,28154910,28154854,28154766,28154692,28154804,28154907,
28154652,28154661,28154958,28154806,28154685,28154682,28154795,28154785,28154978,28155000,
