P,C/1B,2B,3B,SS,OF,OF,OF,UTIL
90947-82554,90947-181990,90947-21705,90947-38976,90947-68589,90947-163666,90947-60642,90947-73159,90947-97257,
90947-11354,90947-101910,90947-21705,90947-38976,90947-68589,90947-79230,90947-163666,90947-97257,90947-79216,
90947-82554,90947-79223,90947-54049,90947-82574,90947-102621,90947-85261,90947-53993,90947-83155,90947-116450,
90947-82554,90947-101910,90947-21705,90947-79216,90947-68586,90947-79230,90947-79263,90947-13854,90947-82652,
90947-82554,90947-118120,90947-180208,90947-119437,90947-102380,90947-85520,90947-82612,90947-102392,90947-13854,
90947-82554,90947-13326,90947-82617,90947-82574,90947-68586,90947-85261,90947-167012,90947-79092,90947-54401,
90947-82554,90947-21172,90947-118218,90947-82574,90947-102621,90947-85261,90947-54068,90947-53993,90947-104483,
90947-11354,90947-79223,90947-82660,90947-38976,90947-68589,90947-85261,90947-101844,90947-163666,90947-71182,
90947-82554,90947-101910,90947-135239,90947-38976,90947-68589,90947-79756,90947-163666,90947-163696,90947-79223,
90947-82554,90947-101787,90947-118218,90947-68525,90947-185300,90947-82440,90947-12933,90947-53033,90947-79211,
90947-82554,90947-101787,90947-180208,90947-82574,90947-102621,90947-85261,90947-53993,90947-53033,90947-181820,
90947-82554,90947-83182,90947-16947,90947-79267,90947-102621,90947-39151,90947-53993,90947-82611,90947-79120,
90947-11354,90947-135203,90947-118218,90947-82574,90947-21885,90947-39151,90947-85261,90947-53993,90947-119404,
90947-82554,90947-82569,90947-161418,90947-38976,90947-60672,90947-82440,90947-12933,90947-79211,90947-82570,
90947-82554,90947-101787,90947-161418,90947-68525,90947-60672,90947-39151,90947-60642,90947-68495,90947-53033,
90947-82554,90947-13303,90947-21705,90947-79216,90947-38412,90947-82734,90947-79093,90947-68495,90947-82652,
90947-82554,90947-38004,90947-21705,90947-38976,90947-38412,90947-79230,90947-5456,90947-82652,90947-13501,
90947-82554,90947-101787,90947-102301,90947-68525,90947-102621,90947-79092,90947-60642,90947-53033,90947-180208,
90947-79217,90947-79223,90947-118218,90947-38976,90947-68589,90947-119318,90947-163666,90947-80847,90947-182167,
90947-11354,90947-52175,90947-119404,90947-38976,90947-21885,90947-79756,90947-136672,90947-82611,90947-135203,
90947-82554,90947-79223,90947-21705,90947-38976,90947-21890,90947-136672,90947-17086,90947-38040,90947-53994,
90947-82554,90947-118120,90947-16947,90947-119437,90947-185300,90947-12933,90947-85520,90947-79211,90947-13854,
90947-82554,90947-82569,90947-161418,90947-38976,90947-68589,90947-39151,90947-163666,90947-97257,90947-82570,
90947-38028,90947-118120,90947-118218,90947-119437,90947-102621,90947-85261,90947-85520,90947-53993,90947-13854,
90947-135231,90947-79223,90947-21705,90947-38976,90947-38412,90947-85261,90947-79263,90947-82652,90947-53994,
90947-38028,90947-79120,90947-21705,90947-38976,90947-102621,90947-85261,90947-53993,90947-79263,90947-82652,
90947-82554,90947-79223,90947-161418,90947-82570,90947-102621,90947-85261,90947-53993,90947-68495,90947-60672,
90947-82554,90947-118120,90947-54049,90947-119437,90947-68586,90947-85520,90947-13854,90947-83155,90947-116450,
90947-79217,90947-79223,90947-54049,90947-38976,90947-68589,90947-12933,90947-163666,90947-83155,90947-181991,
90947-82554,90947-118120,90947-135239,90947-119437,90947-13501,90947-39151,90947-85520,90947-13854,90947-119408,
90947-82554,90947-13326,90947-21705,90947-82574,90947-68589,90947-85261,90947-163666,90947-97257,90947-37983,
90947-11354,90947-101910,90947-118218,90947-79216,90947-21885,90947-39151,90947-79230,90947-5456,90947-119404,
90947-82554,90947-52175,90947-118218,90947-79074,90947-21885,90947-79756,90947-136672,90947-82652,90947-119404,
90947-82554,90947-85285,90947-119404,90947-119437,90947-38412,90947-85520,90947-82611,90947-13596,90947-135203,
90947-82554,90947-101910,90947-102301,90947-79216,90947-60672,90947-79230,90947-82734,90947-5456,90947-68495,
90947-11354,90947-101910,90947-180208,90947-79216,90947-102621,90947-85261,90947-79230,90947-53993,90947-82574,
90947-38028,90947-79401,90947-118218,90947-82574,90947-102621,90947-85261,90947-13540,90947-53993,90947-38561,
90947-79103,90947-79120,90947-180208,90947-38976,90947-102621,90947-85261,90947-163666,90947-53993,90947-68589,
90947-11354,90947-101787,90947-21705,90947-68525,90947-102621,90947-53033,90947-79263,90947-13854,90947-82652,
90947-82554,90947-85285,90947-21705,90947-79216,90947-38412,90947-163666,90947-97257,90947-82652,90947-68589,
90947-82554,90947-116450,90947-102301,90947-38976,90947-68589,90947-163666,90947-82612,90947-102392,90947-97257,
90947-11354,90947-118120,90947-102301,90947-119437,90947-68589,90947-85520,90947-79092,90947-13854,90947-180208,
90947-82554,90947-116450,90947-21705,90947-38976,90947-102380,90947-79263,90947-82612,90947-102392,90947-82652,
90947-82554,90947-13304,90947-180208,90947-38976,90947-68589,90947-119318,90947-85261,90947-163666,90947-182167,
90947-82554,90947-101910,90947-82660,90947-79216,90947-185300,90947-82440,90947-12933,90947-79230,90947-79211,
90947-82554,90947-119303,90947-102301,90947-38976,90947-102380,90947-167012,90947-79092,90947-82612,90947-102392,
90947-11354,90947-118120,90947-118218,90947-119437,90947-60672,90947-82734,90947-79093,90947-68495,90947-13854,
90947-82554,90947-83182,90947-21705,90947-79267,90947-185300,90947-82440,90947-12933,90947-79211,90947-82611,
90947-82554,90947-79401,90947-161418,90947-82570,90947-60672,90947-13540,90947-13854,90947-38561,90947-82569,
90947-11354,90947-13326,90947-21705,90947-82574,90947-21885,90947-85261,90947-79263,90947-13854,90947-82652,
90947-82554,90947-116450,90947-118218,90947-38976,90947-21885,90947-82612,90947-102392,90947-83155,90947-119404,
90947-79217,90947-104483,90947-21705,90947-38976,90947-68589,90947-163666,90947-79263,90947-97257,90947-82652,
90947-82554,90947-79152,90947-21705,90947-38976,90947-185300,90947-12933,90947-79211,90947-79263,90947-82652,
90947-82554,90947-13326,90947-102301,90947-82574,90947-135190,90947-39151,90947-79092,90947-54401,90947-180208,
90947-82554,90947-101787,90947-118218,90947-68525,90947-21885,90947-39151,90947-53033,90947-181820,90947-119404,
90947-38028,90947-85285,90947-21705,90947-38976,90947-38412,90947-82440,90947-12933,90947-79211,90947-82652,
90947-79217,90947-135203,90947-21705,90947-38976,90947-21885,90947-79263,90947-13854,90947-82652,90947-119404,
90947-82554,90947-181991,90947-54049,90947-38976,90947-185300,90947-82440,90947-12933,90947-79211,90947-83155,
90947-82554,90947-181991,90947-21705,90947-38976,90947-38412,90947-79263,90947-83155,90947-82652,90947-54049,
90947-82554,90947-118120,90947-118218,90947-119437,90947-119410,90947-85520,90947-13854,90947-38074,90947-82593,
90947-82554,90947-13326,90947-180208,90947-82574,90947-60672,90947-85261,90947-82734,90947-79093,90947-68495,
90947-82554,90947-82569,90947-102301,90947-82570,90947-68586,90947-39151,90947-167012,90947-79092,90947-161418,
90947-82554,90947-79401,90947-119408,90947-38976,90947-13501,90947-13540,90947-5456,90947-38561,90947-38004,
90947-82554,90947-79152,90947-118218,90947-82574,90947-185300,90947-12933,90947-85261,90947-53993,90947-79211,
90947-79103,90947-102546,90947-82617,90947-82574,90947-102621,90947-39151,90947-85261,90947-53993,90947-53994,
90947-38028,90947-85285,90947-21705,90947-38976,90947-38412,90947-85520,90947-163666,90947-102392,90947-68589,
90947-82554,90947-13326,90947-118218,90947-79216,90947-135190,90947-79230,90947-5456,90947-54401,90947-82574,
90947-82554,90947-79120,90947-119404,90947-38976,90947-135190,90947-82553,90947-82611,90947-54401,90947-135203,
90947-82554,90947-118120,90947-82660,90947-119437,90947-119410,90947-101844,90947-13854,90947-173078,90947-79223,
90947-38028,90947-79401,90947-102301,90947-38976,90947-68586,90947-13540,90947-167012,90947-79092,90947-38561,
90947-82554,90947-82593,90947-21705,90947-38976,90947-68589,90947-101844,90947-163666,90947-173078,90947-119410,
90947-79217,90947-79223,90947-16947,90947-38976,90947-68586,90947-119318,90947-167012,90947-80847,90947-53994,
90947-82554,90947-21172,90947-161418,90947-38976,90947-60672,90947-82440,90947-54068,90947-68495,90947-104483,
90947-11354,90947-52175,90947-68587,90947-38976,90947-68589,90947-163666,90947-13854,90947-97257,90947-79074,
90947-82554,90947-101910,90947-102301,90947-68525,90947-68586,90947-167012,90947-79092,90947-60642,90947-73159,
90947-82554,90947-85268,90947-82660,90947-38976,90947-68586,90947-101844,90947-167012,90947-79092,90947-71182,
90947-11354,90947-53994,90947-21705,90947-79216,90947-38412,90947-79230,90947-5456,90947-79263,90947-82652,
90947-38028,90947-101787,90947-21705,90947-68525,90947-102621,90947-85261,90947-60642,90947-53993,90947-53033,
90947-82554,90947-101787,90947-118218,90947-68525,90947-68586,90947-119318,90947-60642,90947-53033,90947-80847,
90947-82554,90947-52175,90947-161418,90947-79074,90947-60672,90947-79756,90947-68495,90947-136672,90947-104483,
90947-82554,90947-79401,90947-16947,90947-79267,90947-38412,90947-13540,90947-38561,90947-82611,90947-83182,
90947-11354,90947-181991,90947-54049,90947-82574,90947-102621,90947-39151,90947-85261,90947-53993,90947-163672,
90947-82554,90947-82593,90947-21705,90947-79216,90947-119410,90947-79230,90947-5456,90947-173078,90947-101910,
90947-82554,90947-101910,90947-54049,90947-79216,90947-102621,90947-79230,90947-5456,90947-83155,90947-181991,
90947-82554,90947-101910,90947-180208,90947-79216,90947-21890,90947-79756,90947-79230,90947-5456,90947-136672,
90947-82554,90947-118120,90947-118218,90947-119437,90947-135190,90947-79263,90947-13854,90947-54401,90947-13326,
90947-82554,90947-118120,90947-118218,90947-119437,90947-13501,90947-79230,90947-5456,90947-13854,90947-38004,
90947-82554,90947-82569,90947-21705,90947-82570,90947-60672,90947-39151,90947-79263,90947-82652,90947-161418,
90947-82554,90947-102546,90947-82617,90947-68525,90947-102621,90947-60642,90947-53033,90947-73159,90947-53994,
90947-82554,90947-135203,90947-119404,90947-38976,90947-68586,90947-167012,90947-79092,90947-80847,90947-21885,
90947-82554,90947-13326,90947-21705,90947-82574,90947-135190,90947-53033,90947-54401,90947-181820,90947-101787,
90947-38028,90947-85285,90947-21705,90947-82574,90947-38412,90947-85261,90947-85520,90947-53993,90947-13596,
90947-79217,90947-101910,90947-118218,90947-79216,90947-102380,90947-79230,90947-5456,90947-82612,90947-102392,
90947-82554,90947-52175,90947-21705,90947-79074,90947-102380,90947-79263,90947-13854,90947-82652,90947-68587,
90947-11354,90947-116450,90947-21705,90947-79216,90947-38412,90947-82612,90947-102392,90947-83155,90947-82652,
90947-82554,90947-85268,90947-82660,90947-71182,90947-102621,90947-85261,90947-53993,90947-13596,90947-52170,
90947-11354,90947-83182,90947-118218,90947-82574,90947-102621,90947-85261,90947-53993,90947-82611,90947-79267,
90947-82554,90947-79401,90947-135239,90947-79216,90947-68586,90947-13540,90947-163696,90947-38561,90947-101910,
90947-82554,90947-102546,90947-21705,90947-68525,90947-38412,90947-60642,90947-79263,90947-73159,90947-82652,
90947-79217,90947-79223,90947-180208,90947-38976,90947-68589,90947-79884,90947-163666,90947-81953,90947-119306,
90947-11354,90947-116450,90947-102301,90947-38976,90947-68586,90947-167012,90947-79092,90947-82612,90947-83155,
90947-82554,90947-38004,90947-21705,90947-68525,90947-13501,90947-5456,90947-60642,90947-53033,90947-101787,
90947-82554,90947-13304,90947-102301,90947-82574,90947-38412,90947-85261,90947-79092,90947-53993,90947-180208,
90947-11354,90947-118120,90947-82617,90947-119437,90947-102621,90947-85520,90947-13854,90947-97257,90947-37983,
90947-82554,90947-116450,90947-54049,90947-38976,90947-60672,90947-82734,90947-79093,90947-68495,90947-83155,
90947-82554,90947-85268,90947-21705,90947-71182,90947-38412,90947-101844,90947-13596,90947-82652,90947-82660,
90947-82554,90947-21172,90947-102301,90947-79267,90947-68586,90947-82440,90947-167012,90947-54068,90947-79092,
90947-79217,90947-135203,90947-119404,90947-82574,90947-21885,90947-82440,90947-12933,90947-79211,90947-82611,
90947-11354,90947-13326,90947-21705,90947-82574,90947-102380,90947-85261,90947-102392,90947-54401,90947-119303,
90947-11354,90947-79120,90947-118218,90947-68525,90947-102621,90947-53993,90947-53033,90947-181820,90947-101787,
90947-79217,90947-13303,90947-102301,90947-38976,90947-68589,90947-167012,90947-79092,90947-163666,90947-97257,
90947-82554,90947-182167,90947-82617,90947-79216,90947-68586,90947-119318,90947-79230,90947-5456,90947-80847,
90947-82554,90947-85268,90947-82660,90947-71182,90947-21885,90947-82440,90947-12933,90947-54068,90947-79211,
90947-79217,90947-101910,90947-102301,90947-79216,90947-21885,90947-79230,90947-5456,90947-79092,90947-180208,
90947-68482,90947-79223,90947-82660,90947-38976,90947-68589,90947-12933,90947-163666,90947-79211,90947-185300,
90947-85285,90947-21705,90947-38976,90947-38412,90947-167012,90947-79092,90947-82652,90947-68586,
90947-82554,90947-181991,90947-54049,90947-38976,90947-68589,90947-85261,90947-163666,90947-97257,90947-163672,
90947-82554,90947-101910,90947-21705,90947-79216,90947-38412,90947-12933,90947-163696,90947-82652,90947-135239,
90947-11354,90947-118120,90947-16947,90947-119437,90947-68586,90947-119318,90947-85520,90947-13854,90947-80847,
90947-82554,90947-83182,90947-16947,90947-79267,90947-60672,90947-39151,90947-82734,90947-79093,90947-68495,
90947-11354,90947-82569,90947-161418,90947-82574,90947-102621,90947-85261,90947-53993,90947-13854,90947-82570,
