Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Adrian Martinez (28169386),Adrian Martinez,28169386,P,7700,ATL@OAK 05/31/2023 03:37PM ET,OAK,3.90
SP,MacKenzie Gore (28169387),MacKenzie Gore,28169387,P,7700,WAS@LAD 05/31/2023 04:10PM ET,WAS,17.76
RP,Sam Hentges (28169388),Sam Hentges,28169388,P,7600,CLE@BAL 05/31/2023 03:05PM ET,CLE,2.54
SP,Caleb Kilian (28169389),Caleb Kilian,28169389,P,7600,TB@CHC 05/31/2023 02:20PM ET,CHC,-6.9
SP,Dane Dunning (28168754),Dane Dunning,28168754,P,7500,TEX@DET 05/31/2023 01:10PM ET,TEX,10.15
SP,Sam Long (28169396),Sam Long,28169396,P,7500,ATL@OAK 05/31/2023 03:37PM ET,OAK,3.02
SP,Jose Suarez (28169391),Jose Suarez,28169391,P,7500,LAA@CWS 05/31/2023 02:10PM ET,LAA,2.92
RP,Hayden Wesneski (28169395),Hayden Wesneski,28169395,P,7500,TB@CHC 05/31/2023 02:20PM ET,CHC,9.59
SP,Cade Cavalli (28169390),Cade Cavalli,28169390,P,7500,WAS@LAD 05/31/2023 04:10PM ET,WAS,0
SP,Stephen Strasburg (28169392),Stephen Strasburg,28169392,P,7500,WAS@LAD 05/31/2023 04:10PM ET,WAS,0
SP,Tommy Romero (28169393),Tommy Romero,28169393,P,7500,WAS@LAD 05/31/2023 04:10PM ET,WAS,0
RP,Tyler Danish (28169394),Tyler Danish,28169394,P,7500,WAS@LAD 05/31/2023 04:10PM ET,WAS,0
RP,JP Sears (28169399),JP Sears,28169399,P,7400,ATL@OAK 05/31/2023 03:37PM ET,OAK,12.93
SP,Mike Clevinger (28169397),Mike Clevinger,28169397,P,7400,LAA@CWS 05/31/2023 02:10PM ET,CWS,11.92
SP,Griffin Canning (28169398),Griffin Canning,28169398,P,7400,LAA@CWS 05/31/2023 02:10PM ET,LAA,13.63
SP,Josiah Gray (28169401),Josiah Gray,28169401,P,7400,WAS@LAD 05/31/2023 04:10PM ET,WAS,15.03
SP,Luis Ortiz (28169400),Luis Ortiz,28169400,P,7400,PIT@SF 05/31/2023 03:45PM ET,PIT,9.38
SP,Daniel Norris (28169404),Daniel Norris,28169404,P,7300,CLE@BAL 05/31/2023 03:05PM ET,CLE,0
RP,Wily Peralta (28169402),Wily Peralta,28169402,P,7300,WAS@LAD 05/31/2023 04:10PM ET,WAS,0
SP,Roansy Contreras (28169403),Roansy Contreras,28169403,P,7300,PIT@SF 05/31/2023 03:45PM ET,PIT,10.72
SP,Kyle Gibson (28169406),Kyle Gibson,28169406,P,7200,CLE@BAL 05/31/2023 03:05PM ET,BAL,13.69
SP,Zach Plesac (28169407),Zach Plesac,28169407,P,7200,CLE@BAL 05/31/2023 03:05PM ET,CLE,3.76
SP,Cooper Criswell (28169408),Cooper Criswell,28169408,P,7200,TB@CHC 05/31/2023 02:20PM ET,TB,8.42
SP,Cory Abbott (28169405),Cory Abbott,28169405,P,7200,WAS@LAD 05/31/2023 04:10PM ET,WAS,4
SP,Cole Ragans (28169410),Cole Ragans,28169410,P,7100,TEX@DET 05/31/2023 01:10PM ET,TEX,3.76
RP,Taylor Hearn (28169411),Taylor Hearn,28169411,P,7100,TEX@DET 05/31/2023 01:10PM ET,TEX,1.49
RP,Alex Faedo (28169413),Alex Faedo,28169413,P,7100,TEX@DET 05/31/2023 01:10PM ET,DET,13.62
RP,Luis Patino (28169409),Luis Patino,28169409,P,7100,TB@CHC 05/31/2023 02:20PM ET,TB,0
SP,Chad Kuhl (28169412),Chad Kuhl,28169412,P,7100,WAS@LAD 05/31/2023 04:10PM ET,WAS,3.94
RP,Peyton Battenfield (28169414),Peyton Battenfield,28169414,P,7000,CLE@BAL 05/31/2023 03:05PM ET,CLE,9.2
SP,Tarik Skubal (28169415),Tarik Skubal,28169415,P,7000,TEX@DET 05/31/2023 01:10PM ET,DET,0
SP,Noah Syndergaard (28168755),Noah Syndergaard,28168755,P,7000,WAS@LAD 05/31/2023 04:10PM ET,LAD,6.97
SP,Bobby Miller (28169416),Bobby Miller,28169416,P,7000,WAS@LAD 05/31/2023 04:10PM ET,LAD,20.38
SP,Trevor Williams (28169417),Trevor Williams,28169417,P,7000,WAS@LAD 05/31/2023 04:10PM ET,WAS,10.90
SP,Grayson Rodriguez (28169419),Grayson Rodriguez,28169419,P,6900,CLE@BAL 05/31/2023 03:05PM ET,BAL,10.12
SP,Jameson Taillon (28169420),Jameson Taillon,28169420,P,6900,TB@CHC 05/31/2023 02:20PM ET,CHC,5.76
SP,Paolo Espino (28169418),Paolo Espino,28169418,P,6900,WAS@LAD 05/31/2023 04:10PM ET,WAS,0
SP,Glenn Otto (28169421),Glenn Otto,28169421,P,6800,TEX@DET 05/31/2023 01:10PM ET,TEX,0
SP,Spencer Howard (28169422),Spencer Howard,28169422,P,6800,TEX@DET 05/31/2023 01:10PM ET,TEX,0
SP,Chase Silseth (28169425),Chase Silseth,28169425,P,6800,LAA@CWS 05/31/2023 02:10PM ET,LAA,3.99
SP,Kyle Hendricks (28169424),Kyle Hendricks,28169424,P,6800,TB@CHC 05/31/2023 02:20PM ET,CHC,9.1
SP,Jose Urena (28169423),Jose Urena,28169423,P,6800,WAS@LAD 05/31/2023 04:10PM ET,WAS,-1.07
SP,Alex Wood (28168756),Alex Wood,28168756,P,6800,PIT@SF 05/31/2023 03:45PM ET,SF,10.05
SP,Matthew Boyd (28169428),Matthew Boyd,28169428,P,6700,TEX@DET 05/31/2023 01:10PM ET,DET,10.22
RP,Drew Rucinski (28169429),Drew Rucinski,28169429,P,6700,ATL@OAK 05/31/2023 03:37PM ET,OAK,-2.18
RP,Kyle Muller (28169430),Kyle Muller,28169430,P,6700,ATL@OAK 05/31/2023 03:37PM ET,OAK,3.48
RP,Kenny Rosenberg (28169427),Kenny Rosenberg,28169427,P,6700,LAA@CWS 05/31/2023 02:10PM ET,LAA,0
SP,Nick Neidert (28169426),Nick Neidert,28169426,P,6700,TB@CHC 05/31/2023 02:20PM ET,CHC,0
SP,Paul Blackburn (28169431),Paul Blackburn,28169431,P,6600,ATL@OAK 05/31/2023 03:37PM ET,OAK,15.4
SP,Johan Oviedo (28169432),Johan Oviedo,28169432,P,6600,PIT@SF 05/31/2023 03:45PM ET,PIT,12.41
SP,Jared Shuster (28168757),Jared Shuster,28168757,P,6500,ATL@OAK 05/31/2023 03:37PM ET,ATL,10
SP,Dylan Dodd (28169433),Dylan Dodd,28169433,P,6500,ATL@OAK 05/31/2023 03:37PM ET,ATL,5.39
SP,Cole Irvin (28169438),Cole Irvin,28169438,P,6400,CLE@BAL 05/31/2023 03:05PM ET,BAL,2.26
RP,Michael Lorenzen (28169435),Michael Lorenzen,28169435,P,6400,TEX@DET 05/31/2023 01:10PM ET,DET,14.38
SP,Tyler Alexander (28169437),Tyler Alexander,28169437,P,6400,TEX@DET 05/31/2023 01:10PM ET,DET,3.14
OF,Ronald Acuna Jr. (28168762),Ronald Acuna Jr.,28168762,OF,6400,ATL@OAK 05/31/2023 03:37PM ET,ATL,11.82
SP,Luis Medina (28169434),Luis Medina,28169434,P,6400,ATL@OAK 05/31/2023 03:37PM ET,OAK,9.09
SP,Joan Adon (28169436),Joan Adon,28169436,P,6400,WAS@LAD 05/31/2023 04:10PM ET,WAS,0
SP,Cal Quantrill (28169440),Cal Quantrill,28169440,P,6300,CLE@BAL 05/31/2023 03:05PM ET,CLE,7.46
RP,Miguel Diaz (28169441),Miguel Diaz,28169441,P,6300,TEX@DET 05/31/2023 01:10PM ET,DET,0
SP,Beau Brieske (28169443),Beau Brieske,28169443,P,6300,TEX@DET 05/31/2023 01:10PM ET,DET,0
SP,Ken Waldichuk (28169439),Ken Waldichuk,28169439,P,6300,ATL@OAK 05/31/2023 03:37PM ET,OAK,6.34
1B/OF,Shohei Ohtani (28168763),Shohei Ohtani,28168763,1B/OF,6300,LAA@CWS 05/31/2023 02:10PM ET,LAA,4.86
SP,Yonny Chirinos (28169442),Yonny Chirinos,28169442,P,6300,TB@CHC 05/31/2023 02:20PM ET,TB,8.55
SP,Hunter Gaddis (28169444),Hunter Gaddis,28169444,P,6200,CLE@BAL 05/31/2023 03:05PM ET,CLE,7.29
SP,Zach Logue (28169446),Zach Logue,28169446,P,6200,TEX@DET 05/31/2023 01:10PM ET,DET,0
SP,Patrick Corbin (28168758),Patrick Corbin,28168758,P,6200,WAS@LAD 05/31/2023 04:10PM ET,WAS,10.51
SP,Sean Manaea (28169445),Sean Manaea,28169445,P,6200,PIT@SF 05/31/2023 03:45PM ET,SF,8.38
SP,John Means (28169448),John Means,28169448,P,6100,CLE@BAL 05/31/2023 03:05PM ET,BAL,0
SP,Joey Wentz (28168759),Joey Wentz,28168759,P,6100,TEX@DET 05/31/2023 01:10PM ET,DET,5.34
SP,Casey Mize (28169447),Casey Mize,28169447,P,6100,TEX@DET 05/31/2023 01:10PM ET,DET,0
SP,Matt Manning (28169449),Matt Manning,28169449,P,6100,TEX@DET 05/31/2023 01:10PM ET,DET,11.62
RP,Rony Garcia (28169450),Rony Garcia,28169450,P,6100,TEX@DET 05/31/2023 01:10PM ET,DET,0
OF,Mike Trout (28168765),Mike Trout,28168765,OF,6100,LAA@CWS 05/31/2023 02:10PM ET,LAA,8.81
RP,Austin Voth (28168760),Austin Voth,28168760,P,6000,CLE@BAL 05/31/2023 03:05PM ET,BAL,3.76
SP,Kyle Bradish (28169453),Kyle Bradish,28169453,P,6000,CLE@BAL 05/31/2023 03:05PM ET,BAL,11.73
2B,Marcus Semien (28168766),Marcus Semien,28168766,2B,6000,TEX@DET 05/31/2023 01:10PM ET,TEX,10.43
RP,Hogan Harris (28169455),Hogan Harris,28169455,P,6000,ATL@OAK 05/31/2023 03:37PM ET,OAK,2.3
RP,Jesse Scholtens (28169451),Jesse Scholtens,28169451,P,6000,LAA@CWS 05/31/2023 02:10PM ET,CWS,6.72
SP,Tyler Anderson (28169454),Tyler Anderson,28169454,P,6000,LAA@CWS 05/31/2023 02:10PM ET,LAA,7.63
SP,Elvin Rodriguez (28169452),Elvin Rodriguez,28169452,P,6000,TB@CHC 05/31/2023 02:20PM ET,TB,0
SS,Corey Seager (28168767),Corey Seager,28168767,SS,5900,TEX@DET 05/31/2023 01:10PM ET,TEX,10.13
OF,Mookie Betts (28168768),Mookie Betts,28168768,OF,5900,WAS@LAD 05/31/2023 04:10PM ET,LAD,9.19
SP,Keegan Akin (28169457),Keegan Akin,28169457,P,5800,CLE@BAL 05/31/2023 03:05PM ET,BAL,1.87
SP,Jake Odorizzi (28169456),Jake Odorizzi,28169456,P,5800,TEX@DET 05/31/2023 01:10PM ET,TEX,0
OF,Christopher Morel (28168771),Christopher Morel,28168771,OF,5800,TB@CHC 05/31/2023 02:20PM ET,CHC,11.44
C,Will Smith (28168769),Will Smith,28168769,C,5800,WAS@LAD 05/31/2023 04:10PM ET,LAD,9.51
SP,Bruce Zimmermann (28169458),Bruce Zimmermann,28169458,P,5700,CLE@BAL 05/31/2023 03:05PM ET,BAL,0
1B,Matt Olson (28168773),Matt Olson,28168773,1B,5700,ATL@OAK 05/31/2023 03:37PM ET,ATL,9.96
OF,Randy Arozarena (28168770),Randy Arozarena,28168770,OF,5700,TB@CHC 05/31/2023 02:20PM ET,TB,9.65
SP,Dean Kremer (28169459),Dean Kremer,28169459,P,5600,CLE@BAL 05/31/2023 03:05PM ET,BAL,12.41
1B,Freddie Freeman (28168772),Freddie Freeman,28168772,1B,5600,WAS@LAD 05/31/2023 04:10PM ET,LAD,10.82
SP,Jake Irvin (28169460),Jake Irvin,28169460,P,5600,WAS@LAD 05/31/2023 04:10PM ET,WAS,7.76
OF,Bryan Reynolds (28168775),Bryan Reynolds,28168775,OF,5600,PIT@SF 05/31/2023 03:45PM ET,PIT,9.14
RP,Spenser Watkins (28169462),Spenser Watkins,28169462,P,5500,CLE@BAL 05/31/2023 03:05PM ET,BAL,0
OF,Adolis Garcia (28168774),Adolis Garcia,28168774,OF,5500,TEX@DET 05/31/2023 01:10PM ET,TEX,9.81
SP,Garrett Hill (28169461),Garrett Hill,28169461,P,5500,TEX@DET 05/31/2023 01:10PM ET,DET,1.31
OF,Cedric Mullins (28168776),Cedric Mullins,28168776,OF,5400,CLE@BAL 05/31/2023 03:05PM ET,BAL,9.42
SP,Spencer Turnbull (28169463),Spencer Turnbull,28169463,P,5400,TEX@DET 05/31/2023 01:10PM ET,DET,5.54
SP,James Kaprielian (28168761),James Kaprielian,28168761,P,5400,ATL@OAK 05/31/2023 03:37PM ET,OAK,4.52
SP,Evan Lee (28169464),Evan Lee,28169464,P,5400,WAS@LAD 05/31/2023 04:10PM ET,WAS,0
3B,Jose Ramirez (28168777),Jose Ramirez,28168777,3B,5300,CLE@BAL 05/31/2023 03:05PM ET,CLE,8.24
OF,Luis Robert Jr. (28168778),Luis Robert Jr.,28168778,OF,5300,LAA@CWS 05/31/2023 02:10PM ET,CWS,8.41
3B,Austin Riley (28168780),Austin Riley,28168780,3B,5200,ATL@OAK 05/31/2023 03:37PM ET,ATL,7.76
SS,Wander Franco (28168779),Wander Franco,28168779,SS,5200,TB@CHC 05/31/2023 02:20PM ET,TB,10.14
C,Adley Rutschman (28168782),Adley Rutschman,28168782,C,5100,CLE@BAL 05/31/2023 03:05PM ET,BAL,7.93
3B,Josh Jung (28168781),Josh Jung,28168781,3B,5100,TEX@DET 05/31/2023 01:10PM ET,TEX,9.28
OF,Josh Lowe (28168784),Josh Lowe,28168784,OF,5000,TB@CHC 05/31/2023 02:20PM ET,TB,10.09
3B,Max Muncy (28168783),Max Muncy,28168783,3B,5000,WAS@LAD 05/31/2023 04:10PM ET,LAD,9.22
2B,Thairo Estrada (28168976),Thairo Estrada,28168976,2B,5000,PIT@SF 05/31/2023 03:45PM ET,SF,9.15
SS,Oneil Cruz (28168977),Oneil Cruz,28168977,SS,5000,PIT@SF 05/31/2023 03:45PM ET,PIT,9.33
C,Sean Murphy (28168785),Sean Murphy,28168785,C,4900,ATL@OAK 05/31/2023 03:37PM ET,ATL,9.33
2B,Nico Hoerner (28168786),Nico Hoerner,28168786,2B,4900,TB@CHC 05/31/2023 02:20PM ET,CHC,9.06
OF,Cody Bellinger (28168978),Cody Bellinger,28168978,OF,4900,TB@CHC 05/31/2023 02:20PM ET,CHC,9.84
OF,Riley Greene (28168789),Riley Greene,28168789,OF,4800,TEX@DET 05/31/2023 01:10PM ET,DET,7.96
2B,Brandon Lowe (28168788),Brandon Lowe,28168788,2B,4800,TB@CHC 05/31/2023 02:20PM ET,TB,7.13
1B,Yandy Diaz (28168790),Yandy Diaz,28168790,1B,4800,TB@CHC 05/31/2023 02:20PM ET,TB,10.04
SS,Dansby Swanson (28168793),Dansby Swanson,28168793,SS,4800,TB@CHC 05/31/2023 02:20PM ET,CHC,7.98
SS,Tim Anderson (28168791),Tim Anderson,28168791,SS,4700,LAA@CWS 05/31/2023 02:10PM ET,CWS,6.18
OF,J.D. Martinez (28168787),J.D. Martinez,28168787,OF,4700,WAS@LAD 05/31/2023 04:10PM ET,LAD,10
1B,Nathaniel Lowe (28168795),Nathaniel Lowe,28168795,1B,4600,TEX@DET 05/31/2023 01:10PM ET,TEX,8.20
OF,Lane Thomas (28168792),Lane Thomas,28168792,OF,4600,WAS@LAD 05/31/2023 04:10PM ET,WAS,8.26
1B,Ryan Mountcastle (28168799),Ryan Mountcastle,28168799,1B,4500,CLE@BAL 05/31/2023 03:05PM ET,BAL,8.02
C,Jonah Heim (28168796),Jonah Heim,28168796,C,4500,TEX@DET 05/31/2023 01:10PM ET,TEX,8.26
SS,Javier Baez (28168797),Javier Baez,28168797,SS,4500,TEX@DET 05/31/2023 01:10PM ET,DET,6
2B,Ozzie Albies (28168798),Ozzie Albies,28168798,2B,4500,ATL@OAK 05/31/2023 03:37PM ET,ATL,7.29
OF,Andrew McCutchen (28168794),Andrew McCutchen,28168794,OF,4500,PIT@SF 05/31/2023 03:45PM ET,PIT,7.73
C,Mitch Garver (28168979),Mitch Garver,28168979,C,4400,TEX@DET 05/31/2023 01:10PM ET,TEX,9.17
OF,Seiya Suzuki (28168800),Seiya Suzuki,28168800,OF,4400,TB@CHC 05/31/2023 02:20PM ET,CHC,7.66
SS,Jorge Mateo (28168801),Jorge Mateo,28168801,SS,4300,CLE@BAL 05/31/2023 03:05PM ET,BAL,7.46
OF,Hunter Renfroe (28168802),Hunter Renfroe,28168802,OF,4300,LAA@CWS 05/31/2023 02:10PM ET,LAA,7.44
3B,Yoan Moncada (28168805),Yoan Moncada,28168805,3B,4300,LAA@CWS 05/31/2023 02:10PM ET,CWS,6.74
OF,Anthony Santander (28168803),Anthony Santander,28168803,OF,4200,CLE@BAL 05/31/2023 03:05PM ET,BAL,8.18
1B/C,Zack Collins (28168981),Zack Collins,28168981,C/1B,4200,CLE@BAL 05/31/2023 03:05PM ET,CLE,0
OF,Ian Happ (28168806),Ian Happ,28168806,OF,4200,TB@CHC 05/31/2023 02:20PM ET,CHC,7.42
2B,Luis Garcia (28168804),Luis Garcia,28168804,2B,4200,WAS@LAD 05/31/2023 04:10PM ET,WAS,6.69
3B,Ke'Bryan Hayes (28168807),Ke'Bryan Hayes,28168807,3B,4200,PIT@SF 05/31/2023 03:45PM ET,PIT,6.31
OF,Steven Kwan (28168810),Steven Kwan,28168810,OF,4100,CLE@BAL 05/31/2023 03:05PM ET,CLE,7.39
1B/2B,Brandon Drury (28168808),Brandon Drury,28168808,1B/2B,4100,LAA@CWS 05/31/2023 02:10PM ET,LAA,7.14
C,Logan O'Hoppe (28168983),Logan O'Hoppe,28168983,C,4100,LAA@CWS 05/31/2023 02:10PM ET,LAA,7.69
3B,J.D. Davis (28168813),J.D. Davis,28168813,3B,4100,PIT@SF 05/31/2023 03:45PM ET,SF,7.51
OF,Joc Pederson (28168980),Joc Pederson,28168980,OF,4100,PIT@SF 05/31/2023 03:45PM ET,SF,7.5
