P,P,C,1B,2B,3B,SS,OF,OF,OF
28062743,28062745,28063025,28062942,28062777,28062812,28062907,28062757,28062770,28062853,
28062738,28062743,28062849,28062763,28062844,28062810,28063067,28062855,28062859,28062877,
28062746,28062748,28062868,28062942,28062950,28062880,28062862,28062757,28062770,28062803,
28062740,28062743,28062848,28062821,28062765,28062917,28062785,28062773,28062970,28062994,
28062738,28062746,28062935,28062993,28062872,28063042,28062829,28062804,28062855,28062947,
28062736,28062737,28062806,28062863,28062980,28062813,28062902,28062836,28062923,28063002,
28062736,28062746,28062837,28063017,28062765,28062911,28062937,28062933,28062962,28062994,
28062736,28062746,28062849,28062763,28062844,28062810,28062958,28062826,28062898,28062910,
28062738,28062748,28062935,28062807,28062778,28063042,28063067,28062768,28062855,28062877,
28062736,28062738,28062837,28062914,28062920,28062802,28062937,28062804,28062962,28062994,
28062737,28062746,28062848,28062914,28062872,28062917,28062829,28062804,28062970,28062985,
28062736,28062738,28062786,28062931,28062966,28062880,28062862,28062803,28062882,28062912,
28062736,28062746,28062786,28062854,28062924,28062840,28062776,28062847,28062882,28063037,
28062737,28062746,28062848,28062953,28062945,28062917,28062781,28062758,28062815,28062970,
28062736,28062740,28062849,28062763,28062844,28062810,28062937,28062859,28062962,28062994,
28062736,28062737,28063005,28062942,28062920,28062938,28062792,28062889,28062969,28062997,
28062738,28062746,28062899,28062821,28063012,28062802,28063067,28062773,28062877,28062947,
28062737,28062746,28062806,28063017,28062980,28062911,28062902,28062884,28062933,28063002,
28062746,28062748,28062891,28062914,28062920,28062938,28062829,28062804,28062828,28062972,
28062745,28062751,28063005,28062821,28062777,28062812,28062785,28062757,28062773,28062969,
28062740,28062743,28062891,28062764,28062924,28062840,28062767,28062828,28062847,28062972,
28062737,28062746,28063005,28062953,28062777,28062818,28062792,28062889,28062969,28062970,
28062738,28062748,28063025,28062943,28062778,28062796,28062907,28062768,28062794,28062853,
28062736,28062746,28062913,28062895,28062945,28062917,28062808,28062761,28062816,28062841,
28062737,28062738,28062848,28062942,28062945,28062917,28062792,28062770,28062889,28062969,
28062746,28062748,28063087,28062821,28062791,28062802,28062817,28062773,28062833,28062846,
28062743,28062746,28062786,28062854,28062800,28062788,28062776,28062882,28062912,28062968,
28062745,28062752,28062891,28062764,28062778,28062796,28062767,28062768,28062828,28062972,
28062742,28062743,28062868,28062942,28062950,28062812,28062792,28062757,28062770,28063016,
28062737,28062743,28062852,28062953,28062800,28062818,28062808,28062827,28062893,28062968,
28062736,28062738,28063005,28062943,28062777,28062813,28062907,28062836,28062923,28062969,
28062737,28062746,28063005,28062895,28062777,28062825,28063018,28062761,28062841,28062969,
28062737,28062748,28062837,28062807,28062778,28062802,28062937,28062768,28062962,28062994,
28062742,28062744,28062891,28062764,28062918,28062813,28062767,28062828,28062836,28062972,
28062737,28062746,28062848,28062807,28062945,28062917,28062808,28062768,28062826,28062893,
28062745,28062749,28062786,28062854,28062998,28062812,28062776,28062757,28062770,28063037,
28062743,28062746,28062806,28062863,28062980,28063042,28062902,28062855,28062877,28063002,
28062737,28062738,28062852,28062931,28062800,28062788,28062887,28062882,28062912,28062968,
28062746,28062748,28062935,28062993,28062791,28063042,28062817,28062833,28062855,28062877,
28062736,28062738,28063064,28062953,28062926,28062818,28062958,28062827,28062859,28063041,
28062736,28062737,28062837,28062931,28062966,28062802,28062937,28062773,28062912,28062962,
28062736,28062737,28063025,28062943,28062920,28062938,28062907,28062794,28062853,28062997,
28062737,28062743,28062786,28062854,28062998,28063042,28062776,28062855,28062877,28063037,
28062743,28062746,28062789,28062874,28062945,28062818,28062808,28062795,28062827,28062893,
28062743,28062751,28062806,28062821,28062765,28062802,28062785,28062773,28062884,28063002,
28062740,28062751,28062852,28062942,28062777,28062812,28062887,28062757,28062770,28062896,
28062746,28062748,28062789,28062914,28062920,28062938,28062781,28062758,28062795,28062815,
28062743,28062748,28062852,28062774,28062924,28062840,28062887,28062756,28062847,28062896,
28062738,28062748,28062852,28062821,28062800,28062802,28062887,28062773,28062896,28062968,
28062746,28062748,28062915,28062790,28062793,28063042,28062762,28062766,28062855,28062877,
