,Player Name,Pos,Salary,Team,Opp,Proj FP,Actual FP,Batting Order (Confirmed)
159,Andrew Vaughn,1B,2800,CWS,@TOR,10.9,3.0,2
160,Ke'Bryan Hayes,3B,2800,PIT,LAD,8.9,9.2,1
162,Anthony Rendon,3B,2800,LAA,OAK,10.2,9.2,4
163,Esteury Ruiz,OF,2800,OAK,@LAA,10.1,39.7,1
169,Eugenio Suarez,3B,2800,SEA,@PHI,9.5,6.0,4
170,Mark Canha,OF,2800,NYM,WAS,9.4,0.0,5
171,Starling Marte,OF,2800,NYM,WAS,11.3,6.5,2
172,Wilmer Flores,1B,2800,SF,STL,9.1,22.2,7
173,Lane Thomas,OF,2800,WAS,@NYM,7.8,9.5,7
174,Mitch Haniger,OF,2800,SF,STL,10.3,12.4,5
175,Brendan Donovan,2B,2800,STL,@SF,8.1,3.0,8
176,Spencer Torkelson,1B,2700,DET,@MIL,6.8,0.0,6
177,Jesse Winker,OF,2700,MIL,DET,10.6,9.2,2
179,Evan Longoria,3B,2700,ARI,KC,10.5,6.5,5
180,Riley Greene,OF,2700,DET,@MIL,8.1,3.0,2
181,MJ Melendez,C,2700,KC,@ARI,8.1,6.0,3
182,Brice Turang,2B,2700,MIL,DET,8.2,0.0,7
185,Anthony Santander,OF,2700,BAL,BOS,9.8,7.0,3
187,Gunnar Henderson,3B,2700,BAL,BOS,9.8,3.0,5
188,Alejandro Kirk,C,2700,TOR,CWS,9.9,3.0,6
189,Adam Frazier,2B,2700,BAL,BOS,7.9,6.2,6
191,Triston Casas,1B,2700,BOS,@BAL,7.7,3.0,6
192,Tyler Stephenson,C,2700,CIN,TEX,9.2,15.2,4
196,Jake Fraley,OF,2700,CIN,TEX,10.5,3.0,5
197,Charlie Blackmon,OF,2700,COL,@CLE,8.6,6.0,1
199,Jasrado Chisholm Jr.,OF,2700,MIA,@ATL,11.3,18.7,1
200,David Villar,3B,2700,SF,STL,8.3,0.0,8
201,Tommy Pham,OF,2700,NYM,WAS,8.7,0.0,7
202,Alex Call,OF,2700,WAS,@NYM,8.6,9.5,1
203,Shea Langeliers,C,2700,OAK,@LAA,8.2,0.0,7
205,Jesus Aguilar,1B,2700,OAK,@LAA,8.8,0.0,4
206,Nelson Cruz,OF,2700,SD,@CHC,8.4,6.2,5
208,Garrett Cooper,1B,2700,MIA,@ATL,8.7,9.2,2
209,Giovanny Urshela,1B,2700,LAA,OAK,9.4,3.0,7
210,Corey Julks,OF,2700,HOU,@TB,8.6,0.0,6
211,C.J. Abrams,SS,2700,WAS,@NYM,7.3,9.5,8
212,Keibert Ruiz,C,2700,WAS,@NYM,8.2,9.2,5
213,Edmundo Sosa,3B,2700,PHI,SEA,7.1,12.2,9
214,Trey Mancini,1B,2700,CHC,SD,8.1,25.2,5
216,Joey Meneses,1B,2700,WAS,@NYM,9.2,6.0,4
218,Alec Burleson,OF,2700,STL,@SF,8.6,6.2,6
219,Jon Berti,2B,2700,MIA,@ATL,8.7,12.5,7
220,Chris Taylor,OF,2700,LAD,@PIT,9.1,3.0,7
221,LaMonte Wade Jr,1B,2700,SF,STL,7.3,34.2,6
222,Cal Raleigh,C,2700,SEA,@PHI,9.4,6.2,6
223,Alek Thomas,OF,2600,ARI,KC,7.7,6.2,8
224,Kerry Carpenter,OF,2600,DET,@MIL,8.4,0.0,5
225,Nick Ahmed,SS,2600,ARI,KC,9.2,0.0,7
227,Kevin Newman,SS,2600,CIN,TEX,7.3,9.7,7
229,Jurickson Profar,OF,2600,COL,@CLE,8.2,9.2,2
231,Brad Miller,1B,2600,TEX,@CIN,7.9,3.5,8
234,Josh Naylor,1B,2600,CLE,COL,9.9,25.2,4
237,Brandon Drury,1B,2600,LAA,OAK,10.9,34.9,6
238,Ji-Hwan Bae,2B,2600,PIT,LAD,7.9,36.9,8
240,Jason Heyward,OF,2600,LAD,@PIT,8.9,3.0,3
242,Rodolfo Castro,2B,2600,PIT,LAD,7.8,28.4,7
243,Jason Delay,C,2600,PIT,LAD,5.5,22.5,9
244,Ha-seong Kim,2B,2600,SD,@CHC,8.1,27.4,7
245,Jake Cave,OF,2600,PHI,SEA,7.3,0.0,8
246,Tyler O'Neill,OF,2600,STL,@SF,9.8,3.0,7
247,Eduardo Escobar,3B,2600,NYM,WAS,8.8,12.2,8
251,Jake Rogers,C,2500,DET,@MIL,7.1,6.5,8
252,Akil Baddoo,OF,2500,DET,@MIL,7.6,18.7,7
254,Edward Olivares,OF,2500,KC,@ARI,7.8,3.0,4
255,Javier Baez,SS,2500,DET,@MIL,8.1,3.0,3
260,Jose Miranda,3B,2500,MIN,NYY,8.7,47.1,4
263,Oswaldo Cabrera,OF,2500,NYY,@MIN,7.2,12.4,9
264,Max Kepler,OF,2500,MIN,NYY,9.8,3.5,1
267,Kyle Higashioka,C,2500,NYY,@MIN,6.4,6.2,8
268,Henry Ramos,OF,2500,CIN,TEX,8.1,15.7,6
271,Jose Abreu,1B,2500,HOU,@TB,9.3,0.0,5
272,Luis Garcia,2B,2500,WAS,@NYM,8.8,3.0,2
273,Eric Hosmer,1B,2500,CHC,SD,7.4,3.0,6
275,Blake Sabol,C,2500,SF,STL,6.7,18.2,9
276,Jordan Diaz,3B,2500,OAK,@LAA,8.1,0.0,2
277,Victor Robles,OF,2500,WAS,@NYM,6.5,21.2,9
278,Miguel Vargas,2B,2500,LAD,@PIT,9.2,9.0,5
279,J.P. Crawford,SS,2500,SEA,@PHI,7.4,38.2,9
280,Marcell Ozuna,OF,2500,ATL,MIA,7.3,3.0,8
283,A.J. Pollock,OF,2500,SEA,@PHI,8.1,6.2,7
284,Kolten Wong,2B,2500,SEA,@PHI,8.8,12.2,8
288,Michael Brosseau,3B,2400,MIL,DET,7.6,3.0,8
289,Nick Maton,2B,2400,DET,@MIL,7.6,3.2,4
290,Christian Vazquez,C,2400,MIN,NYY,7.3,0.0,8
293,Donovan Solano,1B,2400,MIN,NYY,7.7,3.0,6
295,Carlos Perez,C,2400,OAK,@LAA,8.2,3.0,5
296,David Peralta,OF,2400,LAD,@PIT,8.6,0.0,8
297,Vaughn Grissom,SS,2400,ATL,MIA,8.0,13.0,7
299,David Hensley,2B,2400,HOU,@TB,7.4,0.0,8
300,Dominic Smith,1B,2400,WAS,@NYM,7.0,9.2,6
301,Aledmys Diaz,2B,2400,OAK,@LAA,8.0,0.0,6
302,Manuel Margot,OF,2400,TB,HOU,7.1,6.0,9
307,Matt Thaiss,C,2400,LAA,OAK,8.6,25.2,8
309,Nicky Lopez,3B,2300,KC,@ARI,6.2,0.0,8
312,Kyle Isbel,OF,2300,KC,@ARI,7.1,0.0,6
313,Joey Wiemer,OF,2300,MIL,DET,7.1,24.7,9
315,Matt Vierling,OF,2300,DET,@MIL,6.4,6.0,9
316,Elvis Andrus,SS,2300,CWS,@TOR,10.0,0.0,1
319,Oscar Gonzalez,OF,2300,CLE,COL,8.0,12.5,7
320,Danny Jansen,C,2300,TOR,CWS,10.2,0.0,8
321,Willie Calhoun,OF,2300,NYY,@MIN,6.8,12.7,6
328,Jose Azocar,OF,2300,SD,@CHC,6.3,9.0,9
330,Jake Meyers,OF,2300,HOU,@TB,7.7,0.0,7
331,Avisail Garcia,OF,2300,MIA,@ATL,7.4,21.7,5
333,Zach McKinstry,2B,2200,DET,@MIL,8.7,0.0,1
338,Ezequiel Tovar,SS,2200,COL,@CLE,6.2,6.0,8
340,Will Brennan,OF,2200,CLE,COL,7.4,3.5,8
341,Nick Senzel,OF,2200,CIN,TEX,7.0,34.4,8
343,Josh H. Smith,OF,2200,TEX,@CIN,7.0,3.0,9
345,Connor Wong,C,2200,BOS,@BAL,6.2,0.0,9
352,Eddie Rosario,OF,2200,ATL,MIA,7.9,18.7,5
357,Yainer Diaz,C,2200,HOU,@TB,7.4,6.0,9
362,Michael Busch,2B,2200,LAD,@PIT,8.6,0.0,6
363,Jacob Stallings,C,2200,MIA,@ATL,6.1,0.0,8
365,Austin Nola,C,2200,SD,@CHC,6.8,0.0,8
368,Zach Neto,SS,2200,LAA,OAK,8.1,12.7,9
371,Michael Massey,2B,2100,KC,@ARI,6.7,0.0,5
375,Victor Caratini,C,2100,MIL,DET,8.2,25.2,6
376,Jackie Bradley Jr.,OF,2100,KC,@ARI,5.3,3.0,9
379,Curt Casali,C,2100,CIN,TEX,6.3,3.0,9
380,Santiago Espinal,2B,2100,TOR,CWS,7.8,24.9,9
382,Lenyn Sosa,2B,2100,CWS,@TOR,7.7,0.0,8
383,Isiah Kiner-Falefa,SS,2100,NYY,@MIN,6.9,6.2,7
389,Alan Trejo,SS,2100,COL,@CLE,7.1,3.0,6
391,Romy Gonzalez,2B,2100,CWS,@TOR,7.4,3.0,9
394,Nick Gordon,OF,2100,MIN,NYY,8.0,12.2,7
404,Conner Capel,OF,2100,OAK,@LAA,7.3,9.0,9
407,Tomas Nido,C,2100,NYM,WAS,6.0,0.0,9
